"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","PENDING","2021-11-05T22:17:40.297-05:00[America/Bogota]","0.0","0.17"
"Shopping by size","Searching a T-Shirt","SUCCESS","2021-11-10T07:18:23.16-05:00[America/Bogota]","0.0","18.09"
